trialnum,colourtext,colourname,condition,response,rt,correct
1,yellow,yellow,congruent,yellow,0.669244,True
2,yellow,green,incongruent,green,0.560860,True
3,yellow,yellow,congruent,yellow,0.489824,True
4,blue,blue,congruent,blue,0.595777,True
5,green,red,incongruent,red,0.473612,True
6,red,red,congruent,red,0.511913,True
7,green,green,congruent,green,0.632912,True
8,blue,red,incongruent,red,0.732736,True
9,green,blue,incongruent,blue,0.723876,True
10,red,blue,incongruent,blue,0.589275,True
11,green,yellow,incongruent,yellow,0.651824,True
12,blue,blue,congruent,blue,0.615177,True
13,blue,blue,congruent,blue,0.667556,True
14,yellow,yellow,congruent,yellow,0.504406,True
15,red,blue,incongruent,red,1.195764,False
16,green,green,congruent,green,0.894202,True
17,red,red,congruent,red,0.600598,True
18,green,green,congruent,green,0.702740,True
19,green,green,congruent,green,0.473823,True
20,yellow,yellow,congruent,yellow,0.565181,True
21,green,red,incongruent,red,0.579910,True
22,red,green,incongruent,blue,0.965213,False
23,red,green,incongruent,blue,0.582358,False
24,green,green,congruent,blue,0.786649,False
25,green,blue,incongruent,green,0.775538,False
26,red,yellow,incongruent,yellow,0.836329,True
27,red,green,incongruent,green,1.218436,True
28,green,blue,incongruent,blue,0.749484,True
29,yellow,blue,incongruent,blue,0.787239,True
30,yellow,blue,incongruent,blue,0.506543,True
31,yellow,blue,incongruent,blue,0.588166,True
32,yellow,yellow,congruent,yellow,0.785300,True
33,yellow,yellow,congruent,yellow,0.552242,True
34,red,red,congruent,red,0.465036,True
35,blue,yellow,incongruent,yellow,0.929029,True
36,red,blue,incongruent,red,0.877638,False
37,red,green,incongruent,green,1.322290,True
38,blue,blue,congruent,blue,0.959917,True
39,blue,blue,congruent,blue,0.544322,True
40,yellow,yellow,congruent,yellow,0.577370,True
41,blue,blue,congruent,blue,0.521211,True
42,yellow,yellow,congruent,yellow,0.452468,True
43,green,green,congruent,green,0.513046,True
44,yellow,yellow,congruent,yellow,0.489878,True
45,yellow,yellow,congruent,yellow,0.495819,True
46,yellow,green,incongruent,green,0.576662,True
47,red,red,congruent,red,0.624323,True
48,yellow,yellow,congruent,yellow,0.551318,True
49,blue,red,incongruent,blue,0.828659,False
50,yellow,yellow,congruent,yellow,0.759679,True
51,blue,green,incongruent,green,0.830889,True
52,yellow,red,incongruent,red,0.584789,True
53,blue,blue,congruent,blue,1.164472,True
54,green,green,congruent,green,0.596466,True
55,blue,blue,congruent,blue,0.552640,True
56,blue,blue,congruent,blue,0.666255,True
57,blue,green,incongruent,green,0.621894,True
58,yellow,red,incongruent,red,0.761373,True
59,red,red,congruent,red,0.688473,True
60,green,green,congruent,blue,0.761834,False
61,blue,yellow,incongruent,yellow,1.726346,True
62,red,red,congruent,red,0.695237,True
63,red,red,congruent,red,0.704268,True
64,red,yellow,incongruent,yellow,0.753989,True
65,blue,red,incongruent,red,0.751888,True
66,red,yellow,incongruent,yellow,0.576317,True
67,yellow,yellow,congruent,yellow,0.647171,True
68,yellow,green,incongruent,green,0.775522,True
69,blue,green,incongruent,green,0.680463,True
70,yellow,red,incongruent,red,0.555447,True
71,green,green,congruent,green,0.857715,True
72,blue,yellow,incongruent,blue,0.779684,False
73,yellow,blue,incongruent,blue,0.886272,True
74,green,blue,incongruent,blue,0.698545,True
75,blue,blue,congruent,blue,0.612498,True
76,blue,blue,congruent,blue,0.664796,True
77,blue,blue,congruent,blue,0.653285,True
78,red,red,congruent,red,0.561989,True
79,green,blue,incongruent,blue,0.727899,True
80,green,green,congruent,green,0.609605,True
81,blue,blue,congruent,blue,0.624695,True
82,yellow,green,incongruent,yellow,0.947340,False
83,green,yellow,incongruent,yellow,1.092114,True
84,blue,green,incongruent,green,1.037184,True
85,green,green,congruent,green,0.657862,True
86,green,green,congruent,green,0.550350,True
87,green,green,congruent,green,0.653763,True
88,green,yellow,incongruent,blue,0.680600,False
89,blue,blue,congruent,blue,1.116089,True
90,green,green,congruent,green,0.640009,True
91,blue,green,incongruent,green,0.644406,True
92,red,blue,incongruent,yellow,1.290859,False
93,green,green,congruent,green,0.763993,True
94,red,red,congruent,red,0.712256,True
95,red,red,congruent,red,0.564602,True
96,green,red,incongruent,red,0.683402,True
97,blue,yellow,incongruent,yellow,0.804890,True
98,blue,red,incongruent,red,0.737234,True
99,blue,blue,congruent,blue,0.887121,True
100,yellow,red,incongruent,red,1.021634,True
101,green,red,incongruent,green,0.746200,False
102,yellow,green,incongruent,green,1.472183,True
103,blue,red,incongruent,red,0.961832,True
104,yellow,blue,incongruent,blue,1.321733,True
105,red,yellow,incongruent,yellow,1.056466,True
106,red,red,congruent,red,0.596161,True
107,red,green,incongruent,green,0.665105,True
108,blue,yellow,incongruent,yellow,1.026360,True
109,red,red,congruent,red,0.900515,True
110,green,yellow,incongruent,blue,0.994825,False
111,red,red,congruent,red,0.918120,True
112,green,yellow,incongruent,yellow,0.663789,True
113,red,red,congruent,red,0.458606,True
114,yellow,red,incongruent,red,0.720066,True
115,red,blue,incongruent,blue,0.570235,True
116,red,yellow,incongruent,yellow,0.697183,True
117,yellow,yellow,congruent,yellow,0.656403,True
118,green,red,incongruent,red,0.749497,True
119,yellow,yellow,congruent,yellow,0.630005,True
120,red,red,congruent,red,0.537709,True
